日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	
2014-02-01T07:00:00	137.715	138.116	136.235	137.057	137.646	138.101	136.224	137.048	
2014-01-01T07:00:00	139.990	141.312	137.508	137.715	139.865	141.254	137.506	137.646	
2013-12-01T07:00:00	139.281	145.701	138.433	145.037	139.120	145.684	138.424	145.019	
2013-11-01T06:00:00	133.628	139.716	131.219	139.281	133.599	139.702	131.206	139.120	
2013-10-01T06:00:00	132.867	135.514	131.163	133.628	132.813	135.503	131.133	133.599	
2013-09-01T06:00:00	129.841	134.951	129.803	132.867	129.672	134.942	129.780	132.813	
2013-08-01T06:00:00	130.284	132.432	127.989	129.841	130.176	132.424	127.965	129.672	
2013-07-01T06:00:00	129.228	132.745	128.026	130.284	129.111	132.746	128.001	130.176	
2013-06-01T06:00:00	130.577	131.416	124.963	129.228	130.525	131.410	124.955	129.111	
2013-05-01T06:00:00	128.294	133.819	127.511	130.577	128.252	133.815	127.498	130.525	
2013-04-01T06:00:00	120.813	131.132	119.121	128.294	120.669	131.117	119.108	128.252	
2013-03-01T07:00:00	120.876	126.044	119.756	120.813	120.842	126.033	119.741	120.669	
2013-02-01T07:00:00	124.563	127.714	118.740	120.876	124.504	127.704	118.714	120.842	
2013-01-01T07:00:00	114.246	124.627	113.557	124.563	114.234	124.609	113.541	124.504	
2012-12-01T07:00:00	107.105	114.710	105.984	114.246	107.077	114.691	105.972	114.234	
2012-11-01T06:00:00	103.412	107.678	100.335	107.105	103.377	107.667	100.321	107.077	
2012-10-01T06:00:00	100.185	104.600	99.798	103.412	100.166	104.589	99.783	103.377	
2012-09-01T06:00:00	98.570	103.870	97.993	100.185	98.539	103.857	97.981	100.166	
2012-08-01T06:00:00	96.145	99.189	94.930	98.570	96.101	99.179	94.921	98.539	
2012-07-01T06:00:00	101.108	101.346	94.123	96.145	100.985	101.293	94.111	96.101	
2012-06-01T06:00:00	96.877	101.635	95.581	101.108	96.792	101.623	95.577	100.985	
2012-05-01T06:00:00	105.696	106.557	96.521	96.877	105.652	106.543	96.509	96.792	
2012-04-01T06:00:00	110.552	111.150	104.634	105.696	110.431	111.134	104.615	105.652	
2012-03-01T07:00:00	108.126	111.436	105.654	110.552	108.100	111.429	105.643	110.431	
2012-02-01T07:00:00	99.778	110.009	99.254	108.126	99.767	109.952	99.245	108.100	
2012-01-01T07:00:00	99.780	102.217	97.045	99.778	99.606	102.209	97.032	99.767	
2011-12-01T07:00:00	104.387	105.765	99.439	99.780	104.346	105.687	99.424	99.606	
2011-11-01T06:00:00	108.348	109.268	102.498	104.387	108.311	109.237	102.489	104.346	
2011-10-01T06:00:00	103.228	111.612	100.772	108.348	103.204	111.573	100.749	108.311	
2011-09-01T06:00:00	110.170	111.013	101.943	103.228	110.139	110.945	101.938	103.204	
2011-08-01T06:00:00	110.545	114.186	108.035	110.170	110.510	114.170	108.022	110.139	
2011-07-01T06:00:00	116.849	117.746	109.588	110.545	116.817	117.741	109.575	110.510	
2011-06-01T06:00:00	117.388	117.904	113.506	116.849	117.332	117.891	113.495	116.817	
2011-05-01T06:00:00	120.209	121.041	113.419	117.388	120.189	121.031	113.407	117.332	
2011-04-01T06:00:00	117.708	123.334	116.485	120.209	117.669	123.322	116.474	120.189	
2011-03-01T07:00:00	112.958	117.994	106.552	117.708	112.876	117.987	106.443	117.669	
2011-02-01T07:00:00	112.357	114.314	110.771	112.958	112.325	114.236	110.763	112.876	
2011-01-01T07:00:00	108.655	114.019	106.831	112.357	108.625	114.009	106.823	112.325	
2010-12-01T07:00:00	108.669	112.201	107.613	108.648	108.639	112.192	107.597	108.636	
2010-11-01T06:00:00	111.992	115.435	108.347	108.669	111.967	115.420	108.337	108.639	
2010-10-01T06:00:00	113.898	115.688	111.529	111.992	113.868	115.685	111.522	111.967	
2010-09-01T06:00:00	106.776	114.229	105.806	113.898	106.755	114.221	105.794	113.868	
2010-08-01T06:00:00	112.649	114.193	105.435	106.776	112.622	114.185	105.422	106.755	
2010-07-01T06:00:00	108.249	114.751	107.509	112.649	108.218	114.737	107.495	112.622	
2010-06-01T06:00:00	112.321	114.137	107.327	108.249	112.279	114.153	107.309	108.218	
2010-05-01T06:00:00	125.101	125.544	108.840	112.321	125.076	125.445	108.829	112.279	
2010-04-01T06:00:00	126.295	127.953	122.375	125.101	126.224	127.912	122.359	125.076	
2010-03-01T07:00:00	120.986	126.580	119.784	126.295	120.959	126.570	119.757	126.224	
2010-02-01T07:00:00	125.172	126.997	119.661	120.986	125.142	126.975	119.646	120.959	
2010-01-01T07:00:00	133.426	134.386	124.823	125.172	133.411	134.376	124.812	125.142	
2009-12-01T07:00:00	129.693	134.574	127.396	133.426	129.601	134.567	127.386	133.411	
2009-11-01T06:00:00	132.430	135.775	126.893	129.693	132.392	135.680	126.876	129.601	
2009-10-01T06:00:00	131.419	138.497	129.055	132.430	131.290	138.482	129.027	132.392	
2009-09-01T06:00:00	133.507	135.491	129.830	131.419	133.438	135.484	129.785	131.290	
2009-08-01T06:00:00	134.881	138.732	132.162	133.507	134.842	138.717	132.147	133.438	
2009-07-01T06:00:00	135.255	136.902	127.015	134.881	135.175	136.887	127.000	134.842	
2009-06-01T06:00:00	134.726	139.235	131.430	135.255	134.674	139.222	131.415	135.175	
2009-05-01T06:00:00	130.506	135.711	126.986	134.726	130.452	135.697	126.971	134.674	
2009-04-01T06:00:00	131.124	137.425	124.386	130.506	131.109	137.407	124.374	130.452	
2009-03-01T07:00:00	123.732	134.525	121.749	131.124	123.712	134.516	121.717	131.109	
2009-02-01T07:00:00	115.053	126.097	113.147	123.732	115.036	126.083	113.132	123.712	
2009-01-01T07:00:00	126.692	128.574	112.086	115.053	126.663	128.560	112.060	115.036	
2008-12-01T07:00:00	121.386	131.071	115.893	126.692	121.332	131.033	115.865	126.663	
2008-11-01T06:00:00	125.571	131.001	116.429	121.386	125.526	130.968	116.415	121.332	
2008-10-01T06:00:00	149.576	150.629	113.655	125.571	149.532	150.572	113.613	125.526	
2008-09-01T06:00:00	159.647	159.647	147.052	149.576	159.625	159.625	147.017	149.532	
2008-08-01T06:00:00	168.398	169.486	159.224	159.647	168.364	169.468	159.208	159.625	
2008-07-01T06:00:00	167.332	169.977	165.336	168.398	167.318	169.965	165.315	168.364	
2008-06-01T06:00:00	164.013	169.470	161.744	167.332	163.989	169.455	161.738	167.318	
2008-05-01T06:00:00	162.260	164.487	158.617	164.013	162.253	164.473	158.594	163.989	
2008-04-01T06:00:00	157.411	164.984	156.342	162.260	157.380	164.968	156.320	162.253	
2008-03-01T07:00:00	157.737	159.217	151.733	157.411	157.713	159.220	151.709	157.380	
2008-02-01T07:00:00	158.097	161.401	154.072	157.737	158.075	161.398	154.048	157.713	
2008-01-01T07:00:00	163.140	164.082	152.131	158.097	163.107	164.071	152.106	158.075	
2007-12-01T07:00:00	162.577	166.677	160.916	163.140	162.558	166.654	160.898	163.107	
2007-11-01T06:00:00	167.252	167.655	158.712	162.577	167.225	167.640	158.678	162.558	
2007-10-01T06:00:00	163.862	167.752	160.490	167.252	163.831	167.732	160.468	167.225	
2007-09-01T06:00:00	157.752	163.982	155.182	163.862	157.738	163.963	155.148	163.831	
2007-08-01T06:00:00	162.332	165.402	149.272	157.752	162.298	165.388	149.228	157.738	
2007-07-01T06:00:00	166.662	168.952	160.672	162.332	166.638	168.938	160.648	162.298	
2007-06-01T06:00:00	163.772	166.952	161.522	166.662	163.748	166.928	161.498	166.638	
2007-05-01T06:00:00	163.062	164.312	161.102	163.772	163.038	164.288	161.078	163.748	
2007-04-01T06:00:00	157.432	163.252	156.962	163.062	157.408	163.228	156.938	163.038	
2007-03-01T07:00:00	156.782	158.042	150.762	157.432	156.758	158.018	150.738	157.408	
2007-02-01T07:00:00	157.432	159.652	155.282	156.782	157.408	159.628	155.258	156.758	
2007-01-01T07:00:00	157.172	158.602	153.652	157.432	157.148	158.618	153.668	157.408	
2006-12-01T07:00:00	153.282	157.212	152.462	157.172	153.258	157.188	152.438	157.148	
2006-11-01T07:00:00	149.232	153.472	148.872	153.282	149.208	153.448	148.848	153.258	
2006-10-01T06:00:00	149.842	150.762	148.522	149.232	149.818	150.738	148.498	149.208	
2006-09-01T06:00:00	150.442	150.522	147.572	149.842	150.418	150.498	147.548	149.818	
2006-08-01T06:00:00	146.352	150.732	145.882	150.442	146.368	150.708	145.898	150.418	
2006-07-01T06:00:00	146.342	148.062	145.002	146.352	146.358	148.038	145.018	146.368	
2006-06-01T06:00:00	144.302	146.622	143.632	146.342	144.278	146.638	143.648	146.358	
2006-05-01T06:00:00	143.542	144.762	140.222	144.302	143.518	144.738	140.198	144.278	
2006-04-01T07:00:00	142.642	145.532	141.502	143.542	142.618	145.508	141.478	143.518	
2006-03-01T07:00:00	138.122	142.992	137.802	142.642	138.098	142.968	137.778	142.618	
2006-02-01T07:00:00	142.422	143.412	137.292	138.122	142.398	143.388	137.268	138.098	
2006-01-01T07:00:00	139.682	142.662	137.122	142.422	139.658	142.638	137.098	142.398	
2005-12-01T07:00:00	141.272	143.622	137.612	139.682	141.248	143.598	137.588	139.658	
2005-11-01T07:00:00	139.712	141.352	137.532	141.272	139.688	141.328	137.508	141.248	
2005-10-01T06:00:00	136.462	140.202	135.872	139.712	136.438	140.178	135.848	139.688	
2005-09-01T06:00:00	136.592	137.812	134.572	136.462	136.568	137.788	134.548	136.438	
2005-08-01T06:00:00	136.482	138.862	133.542	136.592	136.458	138.838	133.518	136.568	
2005-07-01T06:00:00	134.312	137.232	132.562	136.482	134.288	137.208	132.538	136.458	
2005-06-01T06:00:00	133.572	134.382	130.622	134.312	133.548	134.358	130.598	134.288	
2005-05-01T06:00:00	134.942	136.252	133.102	133.572	134.918	136.228	133.078	133.548	
2005-04-01T07:00:00	138.952	140.502	134.832	134.942	138.928	140.478	134.808	134.918	
2005-03-01T07:00:00	138.192	140.722	137.342	138.952	138.168	140.698	137.318	138.928	
2005-02-01T07:00:00	135.192	139.462	133.592	138.192	135.168	139.438	133.568	138.168	
2005-01-01T07:00:00	139.062	139.552	132.972	135.192	139.038	139.528	132.948	135.168	
2004-12-01T07:00:00	136.932	141.622	136.232	139.062	136.908	141.598	136.208	139.038	
2004-11-01T07:00:00	135.652	138.372	134.042	136.932	135.618	138.338	134.008	136.908	
2004-10-01T06:00:00	136.872	137.382	134.592	135.652	136.838	137.348	134.558	135.618	
2004-09-01T06:00:00	133.032	137.602	131.822	136.872	132.998	137.568	131.788	136.838	
2004-08-01T06:00:00	133.722	137.092	131.582	133.032	133.688	137.058	131.548	132.998	
2004-07-01T06:00:00	132.712	135.842	131.282	133.722	132.678	135.808	131.248	133.688	
2004-06-01T06:00:00	133.502	136.722	130.112	132.712	133.468	136.688	130.078	132.678	
2004-05-01T06:00:00	132.452	137.912	131.372	133.502	132.418	137.878	131.338	133.468	
2004-04-01T07:00:00	128.322	132.552	125.812	132.452	128.338	132.518	125.828	132.418	
2004-03-01T07:00:00	136.042	139.042	126.572	128.322	136.058	139.058	126.588	128.338	
2004-02-01T07:00:00	131.892	137.562	130.822	136.042	131.908	137.578	130.838	136.058	
2004-01-01T07:00:00	134.892	137.832	130.722	131.892	134.908	137.848	130.738	131.908	
2003-12-01T07:00:00	131.562	135.212	130.302	134.892	131.578	135.228	130.318	134.908	
2003-11-01T07:00:00	127.282	131.592	124.132	131.562	127.298	131.608	124.148	131.578	
2003-10-01T06:00:00	129.942	130.502	125.822	127.282	129.958	130.518	125.838	127.298	
2003-09-01T06:00:00	128.412	132.862	125.012	129.942	128.428	132.878	125.028	129.958	
2003-08-01T06:00:00	135.362	137.042	126.622	128.412	135.378	137.058	126.638	128.428	
2003-07-01T06:00:00	137.742	138.572	130.552	135.362	137.758	138.588	130.568	135.378	
2003-06-01T06:00:00	140.412	140.412	135.062	137.742	140.428	140.428	135.078	137.758	
2003-05-01T06:00:00	132.932	140.892	131.632	140.412	132.948	140.908	131.648	140.428	
2003-04-01T07:00:00	128.862	133.302	127.452	132.932	128.878	133.318	127.468	132.948	
2003-03-01T07:00:00	127.532	129.772	125.492	128.862	127.548	129.788	125.508	128.878	
2003-02-01T07:00:00	129.022	130.752	126.012	127.532	129.038	130.768	126.028	127.548	
2003-01-01T07:00:00	124.642	129.382	124.082	129.022	124.658	129.398	124.098	129.038	
2002-12-01T07:00:00	121.842	125.642	121.842	124.642	121.858	125.658	121.858	124.658	
2002-11-01T07:00:00	121.292	123.212	120.212	121.842	121.308	123.228	120.228	121.858	
2002-10-01T06:00:00	120.122	123.012	119.972	121.292	120.138	123.028	119.988	121.308	
2002-09-01T06:00:00	116.272	121.952	115.902	120.122	116.288	121.968	115.918	120.138	
2002-08-01T06:00:00	117.192	117.792	114.172	116.272	117.208	117.808	114.188	116.288	
2002-07-01T06:00:00	118.502	119.042	115.112	117.192	118.468	119.008	115.128	117.208	
2002-06-01T06:00:00	115.972	119.692	115.562	118.502	115.938	119.658	115.528	118.468	
2002-05-01T06:00:00	115.742	117.542	113.442	115.972	115.708	117.508	113.408	115.938	
2002-04-01T07:00:00	115.862	117.712	114.672	115.742	115.828	117.678	114.638	115.708	
2002-03-01T07:00:00	115.932	117.132	111.292	115.862	115.898	117.098	111.258	115.828	
2002-02-01T07:00:00	115.812	117.962	114.542	115.932	115.778	117.928	114.508	115.898	
2002-01-01T07:00:00	117.462	119.772	114.312	115.812	117.428	119.738	114.278	115.778	
2001-12-01T07:00:00	110.702	117.462	109.922	117.462	110.668	117.428	109.888	117.428	
2001-11-01T07:00:00	110.302	110.852	106.852	110.702	110.268	110.818	106.818	110.668	
2001-10-01T06:00:00	108.812	111.802	108.572	110.412	108.778	111.768	108.538	110.378	
2001-09-01T06:00:00	109.482	110.252	105.612	108.812	109.448	110.218	105.578	108.778	
2001-08-01T06:00:00	109.442	110.682	107.672	109.482	109.408	110.648	107.638	109.448	
2001-07-01T06:00:00	106.112	109.832	104.762	109.442	106.078	109.798	104.728	109.408	
2001-06-01T06:00:00	103.162	107.742	100.022	106.112	103.128	107.708	99.988	106.078	
2001-05-01T06:00:00	110.632	110.832	101.122	103.162	110.598	110.798	101.088	103.128	
2001-04-01T07:00:00	110.592	113.732	106.702	110.632	110.558	113.698	106.668	110.598	
2001-03-01T07:00:00	106.662	112.622	106.502	110.592	106.628	112.588	106.468	110.558	
2001-02-01T07:00:00	107.342	109.882	104.212	106.662	107.308	109.848	104.178	106.628	
2001-01-01T07:00:00	107.842	113.192	105.312	107.342	107.808	113.158	105.278	107.308	
2000-12-01T07:00:00	95.452	107.912	95.322	107.842	95.418	107.878	95.288	107.808	
2000-11-01T07:00:00	91.622	95.622	91.362	95.452	91.588	95.588	91.328	95.418	
2000-10-01T06:00:00	95.642	96.042	89.002	91.622	95.608	96.008	88.968	91.588	
2000-09-01T06:00:00	95.392	96.212	90.112	95.642	95.358	96.178	90.078	95.608	
2000-08-01T06:00:00	101.292	101.912	94.042	95.392	101.258	101.878	94.008	95.358	
2000-07-01T06:00:00	100.192	103.282	99.382	101.292	100.158	103.248	99.348	101.258	
2000-06-01T06:00:00	99.172	102.922	97.172	100.192	99.138	102.888	97.138	100.158	
2000-05-01T06:00:00	98.392	100.442	94.942	99.172	98.358	100.408	94.908	99.138	
2000-04-01T07:00:00	101.702	103.172	96.542	98.392	101.668	103.138	96.508	98.358	
2000-03-01T07:00:00	106.302	107.862	100.112	101.702	106.268	107.828	100.078	101.668	
2000-02-01T07:00:00	104.662	112.032	102.492	106.302	104.628	111.998	102.458	106.268	
2000-01-01T07:00:00	103.532	109.842	102.212	104.662	103.498	109.808	102.178	104.628	
1999-12-01T07:00:00	103.712	106.282	102.092	103.532	103.678	106.248	102.058	103.498	
1999-11-01T07:00:00	110.002	111.212	102.322	103.712	109.968	111.178	102.288	103.678	
1999-10-01T06:00:00	113.942	116.502	109.022	110.002	113.908	116.468	108.988	109.968	
1999-09-01T06:00:00	116.112	118.402	106.942	113.942	116.078	118.368	106.908	113.908	
1999-08-01T06:00:00	122.962	124.402	115.572	116.112	122.928	124.368	115.538	116.078	
1999-07-01T06:00:00	125.082	125.992	121.182	122.962	125.048	125.958	121.148	122.928	
1999-06-01T06:00:00	127.412	127.682	122.682	125.082	127.378	127.648	122.648	125.048	
1999-05-01T06:00:00	126.502	133.342	125.062	127.412	126.468	133.308	125.028	127.378	
1999-04-01T07:00:00	129.242	131.462	124.872	126.502	129.208	131.428	124.838	126.468	
1999-03-01T07:00:00	131.242	134.272	127.322	129.242	131.208	134.238	127.288	129.208	
1999-02-01T07:00:00	132.072	135.342	126.292	131.242	132.038	135.308	126.258	131.208	
1999-01-01T07:00:00	134.352	135.532	124.612	132.072	134.318	135.498	124.578	132.038	
1998-12-01T07:00:00	141.782	144.442	133.602	134.352	141.748	144.408	133.568	134.318	
1998-11-01T07:00:00	137.512	145.422	134.862	141.782	137.478	145.388	134.828	141.748	
1998-10-01T06:00:00	158.162	164.572	135.792	137.512	158.128	164.538	135.758	137.478	
1998-09-01T06:00:00	157.852	161.412	147.192	158.162	157.818	161.378	147.158	158.128	
1998-08-01T06:00:00	159.122	164.002	153.892	157.852	159.088	163.968	153.858	157.818	
1998-07-01T06:00:00	155.862	160.652	149.292	159.122	155.828	160.618	149.258	159.088	
1998-06-01T06:00:00	153.092	161.482	147.232	155.862	153.058	161.448	147.198	155.828	
1998-05-01T06:00:00	145.722	154.362	144.722	153.092	145.688	154.328	144.688	153.058	
1998-04-01T07:00:00	142.092	147.342	138.282	145.722	142.058	147.308	138.248	145.688	
1998-03-01T07:00:00	137.772	143.762	135.762	142.092	137.738	143.728	135.728	142.058	
1998-02-01T07:00:00	136.222	142.332	132.582	137.772	136.188	142.298	132.548	137.738	
1998-01-01T07:00:00	143.682	147.392	134.362	136.222	143.648	147.358	134.328	136.188	
1997-12-01T07:00:00	143.232	147.492	139.252	143.682	143.198	147.458	139.218	143.648	
1997-11-01T07:00:00	137.762	146.762	135.522	143.232	137.728	146.728	135.488	143.198	
1997-10-01T06:00:00	134.442	140.462	132.182	137.762	134.408	140.428	132.148	137.728	
1997-09-01T06:00:00	131.402	136.312	127.492	134.442	131.368	136.278	127.458	134.408	
1997-08-01T06:00:00	127.022	133.042	119.682	131.402	126.988	133.008	119.648	131.368	
1997-07-01T06:00:00	129.202	130.142	124.272	127.022	129.168	130.108	124.238	126.988	
1997-06-01T06:00:00	131.632	132.822	125.052	129.202	131.598	132.788	125.018	129.168	
1997-05-01T06:00:00	143.622	144.712	128.032	131.632	143.588	144.678	127.998	131.598	
1997-04-01T07:00:00	143.632	145.352	140.922	143.622	143.598	145.318	140.888	143.588	
1997-03-01T07:00:00	138.712	144.602	136.472	143.632	138.678	144.568	136.438	143.598	
1997-02-01T07:00:00	143.952	146.492	137.952	138.712	143.918	146.458	137.918	138.678	
1997-01-01T07:00:00	148.982	149.212	139.532	143.952	148.948	149.178	139.498	143.918	
1996-12-01T07:00:00	145.232	148.982	142.122	148.982	145.198	148.948	142.088	148.948	
1996-11-01T07:00:00	147.792	148.112	143.722	145.232	147.758	148.078	143.688	145.198	
1996-10-01T06:00:00	142.132	149.062	141.972	147.792	142.098	149.028	141.938	147.758	
1996-09-01T06:00:00	143.042	143.502	140.652	142.132	143.008	143.468	140.618	142.098	
1996-08-01T06:00:00	142.092	143.132	139.302	143.042	142.058	143.098	139.268	143.008	
1996-07-01T06:00:00	140.472	143.902	139.462	142.092	140.438	143.868	139.428	142.058	
1996-06-01T06:00:00	137.342	140.982	136.842	140.472	137.308	140.948	136.808	140.438	
1996-05-01T06:00:00	133.062	137.642	131.892	137.342	133.028	137.608	131.858	137.308	
1996-04-01T07:00:00	139.682	140.922	132.222	133.062	139.648	140.888	132.188	133.028	
1996-03-01T07:00:00	137.062	140.052	136.592	139.682	137.028	140.018	136.558	139.648	
1996-02-01T07:00:00	139.152	140.762	136.462	137.062	139.118	140.728	136.428	137.028	
1996-01-01T07:00:00	138.702	141.422	137.172	139.152	138.668	141.388	137.138	139.118	
1995-12-01T07:00:00	134.812	138.782	133.642	138.702	134.778	138.748	133.608	138.668	
1995-11-01T07:00:00	138.132	140.632	134.812	134.812	138.098	140.598	134.778	134.778	
1995-10-01T06:00:00	133.612	138.662	132.992	138.132	133.578	138.628	132.958	138.098	
1995-09-01T06:00:00	129.872	137.442	126.752	133.612	129.838	137.408	126.718	133.578	
1995-08-01T06:00:00	121.542	129.872	120.432	129.872	121.508	129.838	120.398	129.838	
1995-07-01T06:00:00	115.382	122.612	115.312	121.542	115.348	122.578	115.278	121.508	
1995-06-01T06:00:00	111.602	117.412	110.932	115.382	111.568	117.378	110.898	115.348	
1995-05-01T06:00:00	114.292	118.092	111.602	111.602	114.258	118.058	111.568	111.568	
1995-04-01T07:00:00	121.772	122.182	107.262	114.292	121.738	122.148	107.228	114.258	
1995-03-01T07:00:00	127.232	127.312	116.492	121.772	127.198	127.278	116.458	121.738	
1995-02-01T07:00:00	124.202	127.232	124.062	127.232	124.168	127.198	124.028	127.198	
1995-01-01T07:00:00	124.882	127.522	123.172	124.202	124.848	127.488	123.138	124.168	
1994-12-01T07:00:00	122.552	124.882	121.802	124.882	122.518	124.848	121.768	124.848	
1994-11-01T07:00:00	125.992	126.722	121.962	122.552	125.958	126.688	121.928	122.518	
1994-10-01T06:00:00	123.832	127.522	123.322	125.992	123.798	127.488	123.288	125.958	
1994-09-01T06:00:00	122.372	125.652	122.112	123.832	122.338	125.618	122.078	123.798	
1994-08-01T06:00:00	121.102	125.162	120.852	122.372	121.068	125.128	120.818	122.338	
1994-07-01T06:00:00	120.512	124.172	118.732	121.102	120.478	124.138	118.698	121.068	
1994-06-01T06:00:00	123.492	124.702	120.512	120.512	123.458	124.668	120.478	120.478	
1994-05-01T06:00:00	120.642	123.932	118.202	123.492	120.608	123.898	118.168	123.458	
1994-04-01T07:00:00	120.092	121.072	117.242	120.642	120.058	121.038	117.208	120.608	
1994-03-01T07:00:00	119.342	123.672	117.592	120.092	119.308	123.638	117.558	120.058	
1994-02-01T07:00:00	124.742	124.762	115.102	119.342	124.708	124.728	115.068	119.308	
1994-01-01T07:00:00	124.712	127.082	121.862	124.742	124.678	127.048	121.828	124.708	
1993-12-01T07:00:00	122.432	127.382	121.112	124.712	122.398	127.348	121.078	124.678	
1993-11-01T07:00:00	122.792	123.952	119.842	122.432	122.758	123.918	119.808	122.398	
1993-10-01T06:00:00	122.722	126.432	122.092	122.792	122.688	126.398	122.058	122.758	
1993-09-01T06:00:00	118.862	128.042	118.822	122.722	118.828	128.008	118.788	122.688	
1993-08-01T06:00:00	116.862	122.362	113.642	118.862	116.828	122.328	113.608	118.828	
1993-07-01T06:00:00	124.132	127.612	115.792	116.862	124.098	127.578	115.758	116.828	
1993-06-01T06:00:00	132.722	133.482	123.392	124.132	132.688	133.448	123.358	124.098	
1993-05-01T06:00:00	138.172	139.052	131.262	132.722	138.138	139.018	131.228	132.688	
