日時	USD/SGD(始値, 買い)	USD/SGD(高値, 買い)	USD/SGD(安値, 買い)	USD/SGD(終値, 買い)	USD/SGD(始値, 売り)	USD/SGD(高値, 売り)	USD/SGD(安値, 売り)	USD/SGD(終値, 売り)	
2014-02-01T07:00:00	1.27724	1.27854	1.26739	1.26970	1.27583	1.27770	1.26698	1.26924	
2014-01-01T07:00:00	1.27861	1.28060	1.27214	1.27724	1.27761	1.27988	1.27169	1.27583	
2013-12-01T07:00:00	1.25629	1.27005	1.24742	1.26261	1.25484	1.26963	1.24691	1.26203	
2013-11-01T06:00:00	1.24202	1.25698	1.24079	1.25629	1.24139	1.25656	1.24038	1.25484	
2013-10-01T06:00:00	1.25615	1.25695	1.23443	1.24202	1.25500	1.25618	1.23406	1.24139	
2013-09-01T06:00:00	1.27543	1.28157	1.24243	1.25615	1.27350	1.28108	1.24198	1.25500	
2013-08-01T06:00:00	1.27127	1.28655	1.25621	1.27543	1.27059	1.28594	1.25568	1.27350	
2013-07-01T06:00:00	1.26949	1.28616	1.25710	1.27127	1.26788	1.28568	1.25658	1.27059	
2013-06-01T06:00:00	1.26498	1.28169	1.24088	1.26949	1.26351	1.28118	1.24028	1.26788	
2013-05-01T06:00:00	1.23194	1.27281	1.22702	1.26498	1.23125	1.27228	1.22653	1.26351	
2013-04-01T06:00:00	1.24169	1.24394	1.23138	1.23194	1.24056	1.24340	1.23081	1.23125	
2013-03-01T07:00:00	1.23881	1.25314	1.23700	1.24169	1.23816	1.25272	1.23651	1.24056	
2013-02-01T07:00:00	1.23799	1.24561	1.23454	1.23881	1.23701	1.24514	1.23404	1.23816	
2013-01-01T07:00:00	1.22181	1.24071	1.21981	1.23799	1.22119	1.24033	1.21940	1.23701	
2012-12-01T07:00:00	1.22058	1.22506	1.21705	1.22181	1.21979	1.22452	1.21656	1.22119	
2012-11-01T06:00:00	1.22062	1.22993	1.21999	1.22058	1.21976	1.22955	1.21952	1.21979	
2012-10-01T06:00:00	1.22790	1.23384	1.21547	1.22062	1.22705	1.23343	1.21501	1.21976	
2012-09-01T06:00:00	1.24854	1.25100	1.21776	1.22790	1.24642	1.25051	1.21729	1.22705	
2012-08-01T06:00:00	1.24555	1.25597	1.24018	1.24854	1.24413	1.25550	1.23970	1.24642	
2012-07-01T06:00:00	1.26631	1.27518	1.24333	1.24555	1.26408	1.27463	1.24283	1.24413	
2012-06-01T06:00:00	1.28910	1.29754	1.26508	1.26631	1.28799	1.29721	1.26408	1.26408	
2012-05-01T06:00:00	1.23762	1.29052	1.23558	1.28910	1.23671	1.29001	1.23504	1.28799	
2012-04-01T06:00:00	1.25913	1.26412	1.23507	1.23762	1.25706	1.26338	1.23453	1.23671	
2012-03-01T07:00:00	1.25228	1.27104	1.24695	1.25913	1.25141	1.27061	1.24646	1.25706	
2012-02-01T07:00:00	1.25870	1.27156	1.24155	1.25228	1.25780	1.27116	1.24081	1.25141	
2012-01-01T07:00:00	1.29744	1.30088	1.25040	1.25870	1.29545	1.30031	1.24986	1.25780	
2011-12-01T07:00:00	1.28216	1.31338	1.27675	1.29744	1.28098	1.31238	1.27618	1.29545	
2011-11-01T06:00:00	1.25564	1.31543	1.25250	1.28216	1.25340	1.31487	1.25113	1.28098	
2011-10-01T06:00:00	1.30833	1.32033	1.23868	1.25564	1.30732	1.31965	1.23806	1.25340	
2011-09-01T06:00:00	1.20488	1.31429	1.20234	1.30833	1.20401	1.31289	1.20168	1.30732	
2011-08-01T06:00:00	1.20449	1.22858	1.20018	1.20488	1.20324	1.22766	1.19961	1.20401	
2011-07-01T06:00:00	1.22893	1.23203	1.19948	1.20449	1.22783	1.23141	1.19891	1.20324	
2011-06-01T06:00:00	1.23393	1.24497	1.22683	1.22893	1.23266	1.24446	1.22581	1.22783	
2011-05-01T06:00:00	1.22437	1.25353	1.22165	1.23393	1.22362	1.25301	1.22102	1.23266	
2011-04-01T06:00:00	1.26087	1.26469	1.22217	1.22437	1.26006	1.26312	1.22156	1.22362	
2011-03-01T07:00:00	1.27223	1.28756	1.25903	1.26087	1.27096	1.28673	1.25798	1.26006	
2011-02-01T07:00:00	1.28018	1.28610	1.26973	1.27223	1.27881	1.28561	1.26881	1.27096	
2011-01-01T07:00:00	1.28345	1.30508	1.27832	1.28018	1.28320	1.30398	1.27777	1.27881	
2010-12-01T07:00:00	1.32071	1.32312	1.28009	1.28364	1.31989	1.32243	1.27923	1.28305	
2010-11-01T06:00:00	1.29503	1.32595	1.28203	1.32071	1.29376	1.32528	1.28063	1.31989	
2010-10-01T06:00:00	1.31723	1.31837	1.29015	1.29503	1.31556	1.31763	1.28861	1.29376	
2010-09-01T06:00:00	1.35628	1.35648	1.31348	1.31723	1.35541	1.35551	1.31286	1.31556	
2010-08-01T06:00:00	1.36048	1.36813	1.34606	1.35628	1.35956	1.36756	1.34541	1.35541	
2010-07-01T06:00:00	1.40013	1.40492	1.35928	1.36048	1.39876	1.40296	1.35851	1.35956	
2010-06-01T06:00:00	1.40208	1.42047	1.37003	1.40013	1.39746	1.42052	1.36846	1.39876	
2010-05-01T06:00:00	1.37088	1.42181	1.36943	1.40208	1.36971	1.42048	1.36853	1.39746	
2010-04-01T06:00:00	1.39963	1.40173	1.36515	1.37088	1.39836	1.40059	1.36454	1.36971	
2010-03-01T07:00:00	1.40618	1.40873	1.39162	1.39963	1.40521	1.40754	1.39100	1.39836	
2010-02-01T07:00:00	1.40668	1.42569	1.40168	1.40618	1.40581	1.42421	1.40081	1.40521	
2010-01-01T07:00:00	1.40458	1.40865	1.38503	1.40668	1.40323	1.40783	1.38443	1.40581	
2009-12-01T07:00:00	1.38518	1.41257	1.37883	1.40458	1.38321	1.41191	1.37816	1.40323	
2009-11-01T06:00:00	1.40208	1.40459	1.37818	1.38518	1.40121	1.40376	1.37481	1.38321	
2009-10-01T06:00:00	1.41068	1.41928	1.38585	1.40208	1.40916	1.41851	1.38380	1.40121	
2009-09-01T06:00:00	1.44208	1.44676	1.40760	1.41068	1.44031	1.44590	1.40531	1.40916	
2009-08-01T06:00:00	1.43983	1.45367	1.43145	1.44208	1.43856	1.45311	1.43053	1.44031	
2009-07-01T06:00:00	1.44808	1.46918	1.43718	1.43983	1.44691	1.46843	1.43651	1.43856	
2009-06-01T06:00:00	1.44495	1.46668	1.43415	1.44808	1.44373	1.46581	1.43201	1.44691	
2009-05-01T06:00:00	1.48198	1.48533	1.44016	1.44495	1.48041	1.48401	1.43951	1.44373	
2009-04-01T06:00:00	1.52368	1.52626	1.47318	1.48198	1.52221	1.52551	1.47233	1.48041	
2009-03-01T07:00:00	1.54877	1.55817	1.50308	1.52368	1.54682	1.55772	1.50241	1.52221	
2009-02-01T07:00:00	1.51087	1.54957	1.49067	1.54877	1.50892	1.54922	1.49007	1.54682	
2009-01-01T07:00:00	1.43917	1.51307	1.43917	1.51087	1.43492	1.51167	1.43492	1.50892	
2008-12-01T07:00:00	1.51387	1.53507	1.41737	1.43917	1.51272	1.53352	1.41582	1.43492	
2008-11-01T06:00:00	1.48412	1.53682	1.46517	1.51387	1.48217	1.53432	1.46422	1.51272	
2008-10-01T06:00:00	1.43627	1.51727	1.43117	1.48412	1.43452	1.51507	1.43032	1.48217	
2008-09-01T06:00:00	1.41747	1.44827	1.40557	1.43627	1.41662	1.44752	1.40482	1.43452	
2008-08-01T06:00:00	1.36797	1.42817	1.36747	1.41747	1.36692	1.42762	1.36592	1.41662	
2008-07-01T06:00:00	1.36036	1.37107	1.34542	1.36797	1.35932	1.37067	1.34452	1.36692	
2008-06-01T06:00:00	1.36207	1.38307	1.35584	1.36036	1.36102	1.38254	1.35525	1.35932	
2008-05-01T06:00:00	1.35627	1.38547	1.35562	1.36207	1.35552	1.38502	1.35482	1.36102	
2008-04-01T06:00:00	1.37607	1.38899	1.34669	1.35627	1.37502	1.38842	1.34610	1.35552	
2008-03-01T07:00:00	1.39547	1.39837	1.37427	1.37607	1.39442	1.39772	1.37342	1.37502	
2008-02-01T07:00:00	1.41742	1.42237	1.39172	1.39547	1.41657	1.42152	1.39107	1.39442	
2008-01-01T07:00:00	1.43817	1.45452	1.41657	1.41742	1.43582	1.45392	1.41572	1.41657	
2007-12-01T07:00:00	1.44842	1.46457	1.43607	1.43817	1.44762	1.46392	1.43512	1.43582	
2007-11-01T06:00:00	1.44807	1.45727	1.43682	1.44842	1.44662	1.45637	1.43617	1.44762	
2007-10-01T06:00:00	1.48687	1.48787	1.44677	1.44807	1.48422	1.48642	1.44482	1.44662	
2007-09-01T06:00:00	1.52577	1.53047	1.48307	1.48687	1.52302	1.52842	1.48107	1.48422	
2007-08-01T06:00:00	1.51717	1.54527	1.50977	1.52577	1.51562	1.54282	1.50792	1.52302	
2007-07-01T06:00:00	1.52947	1.53187	1.50507	1.51717	1.52952	1.52992	1.50322	1.51562	
2007-06-01T06:00:00	1.52737	1.54477	1.52707	1.52947	1.52742	1.54482	1.52712	1.52952	
2007-05-01T06:00:00	1.51877	1.53297	1.51097	1.52737	1.51882	1.53302	1.51102	1.52742	
2007-04-01T06:00:00	1.51497	1.52147	1.50827	1.51877	1.51502	1.52152	1.50832	1.51882	
2007-03-01T07:00:00	1.52837	1.53617	1.51407	1.51497	1.52842	1.53622	1.51412	1.51502	
2007-02-01T07:00:00	1.57037	1.57037	1.52427	1.52837	1.57042	1.57042	1.52432	1.52842	
2007-01-01T07:00:00	1.56997	1.57037	1.56987	1.57037	1.57002	1.57042	1.56992	1.57042	
