日時	USDOLLAR(始値, 買い)	USDOLLAR(高値, 買い)	USDOLLAR(安値, 買い)	USDOLLAR(終値, 買い)	USDOLLAR(始値, 売り)	USDOLLAR(高値, 売り)	USDOLLAR(安値, 売り)	USDOLLAR(終値, 売り)	
2014-02-01T07:00:00	10716	10726	10658	10668	10708	10724	10655	10665	
2014-01-25T07:00:00	10695	10727	10651	10716	10690	10725	10648	10708	
2014-01-18T07:00:00	10743	10758	10654	10695	10738	10756	10652	10690	
2014-01-11T07:00:00	10656	10757	10621	10743	10650	10754	10619	10738	
2014-01-04T07:00:00	10706	10732	10639	10656	10700	10728	10637	10650	
2013-12-28T07:00:00	10691	10721	10647	10706	10685	10718	10645	10700	
2013-12-21T07:00:00	10697	10708	10633	10691	10689	10705	10631	10685	
2013-12-14T07:00:00	10662	10729	10622	10697	10655	10727	10620	10689	
2013-12-07T07:00:00	10621	10689	10567	10662	10615	10687	10565	10655	
2013-11-30T07:00:00	10627	10671	10596	10621	10621	10669	10594	10615	
2013-11-23T07:00:00	10618	10663	10610	10627	10614	10661	10608	10621	
2013-11-16T07:00:00	10577	10641	10537	10618	10571	10639	10535	10614	
2013-11-09T07:00:00	10590	10643	10562	10577	10587	10641	10560	10571	
2013-11-02T06:00:00	10562	10618	10495	10590	10557	10616	10492	10587	
2013-10-26T06:00:00	10402	10568	10388	10562	10395	10566	10385	10557	
2013-10-19T06:00:00	10410	10438	10357	10402	10403	10436	10354	10395	
2013-10-12T06:00:00	10539	10551	10391	10410	10532	10549	10389	10403	
2013-10-05T06:00:00	10512	10554	10465	10539	10507	10552	10462	10532	
2013-09-28T06:00:00	10543	10543	10458	10512	10536	10541	10455	10507	
2013-09-21T06:00:00	10564	10582	10529	10543	10561	10580	10527	10536	
2013-09-14T06:00:00	10666	10644	10473	10564	10662	10642	10471	10561	
2013-09-07T06:00:00	10739	10756	10649	10666	10732	10754	10646	10662	
2013-08-31T06:00:00	10799	10811	10717	10739	10791	10809	10714	10732	
2013-08-24T06:00:00	10741	10814	10711	10799	10735	10812	10708	10791	
2013-08-17T06:00:00	10679	10770	10655	10741	10674	10768	10652	10735	
2013-08-10T06:00:00	10664	10762	10648	10679	10656	10760	10646	10674	
2013-08-03T06:00:00	10838	10859	10652	10664	10832	10857	10650	10656	
2013-07-27T06:00:00	10724	10901	10696	10838	10715	10897	10693	10832	
2013-07-20T06:00:00	10837	10835	10706	10724	10830	10832	10704	10715	
2013-07-13T06:00:00	10879	10928	10774	10837	10873	10926	10771	10830	
2013-07-06T06:00:00	10996	11011	10761	10879	10986	11009	10757	10873	
2013-06-29T06:00:00	10849	10996	10815	10996	10844	10992	10813	10986	
2013-06-22T06:00:00	10749	10865	10707	10849	10742	10863	10704	10844	
2013-06-15T06:00:00	10493	10761	10484	10749	10486	10759	10478	10742	
2013-06-08T06:00:00	10634	10702	10472	10493	10627	10700	10469	10486	
2013-06-01T06:00:00	10773	10778	10520	10634	10768	10769	10517	10627	
2013-05-25T06:00:00	10795	10879	10735	10773	10789	10877	10733	10768	
2013-05-18T06:00:00	10824	10878	10749	10795	10820	10876	10746	10789	
2013-05-11T06:00:00	10660	10830	10660	10824	10655	10828	10655	10820	
2013-05-04T06:00:00	10481	10699	10473	10660	10476	10697	10471	10655	
2013-04-27T06:00:00	10500	10528	10402	10481	10497	10526	10399	10476	
2013-04-20T06:00:00	10567	10588	10484	10500	10562	10586	10482	10497	
2013-04-13T06:00:00	10458	10568	10445	10567	10453	10565	10442	10562	
2013-04-06T06:00:00	10490	10540	10447	10458	10487	10538	10444	10453	
2013-03-30T06:00:00	10466	10530	10394	10490	10460	10528	10391	10487	
2013-03-23T06:00:00	10429	10491	10416	10466	10424	10489	10413	10460	
2013-03-16T06:00:00	10458	10516	10420	10429	10454	10514	10417	10424	
2013-03-09T07:00:00	10564	10578	10451	10458	10558	10576	10449	10454	
2013-03-02T07:00:00	10490	10577	10430	10564	10486	10575	10427	10558	
2013-02-23T07:00:00	10406	10506	10367	10490	10402	10504	10365	10486	
2013-02-16T07:00:00	10324	10423	10303	10406	10321	10421	10300	10402	
2013-02-09T07:00:00	10259	10345	10249	10324	10251	10343	10245	10321	
2013-02-02T07:00:00	10203	10302	10189	10259	10198	10300	10186	10251	
2013-01-26T07:00:00	10168	10203	10135	10203	10165	10199	10133	10198	
2013-01-19T07:00:00	10145	10179	10078	10168	10141	10177	10075	10165	
2013-01-12T07:00:00	10069	10152	10047	10145	10064	10150	10044	10141	
2013-01-05T07:00:00	10116	10128	10034	10069	10111	10126	10032	10064	
2012-12-29T07:00:00	10039	10160	10003	10116	10036	10158	10000	10111	
2012-12-22T07:00:00	9989	10067	9981	10039	9984	10065	9978	10036	
2012-12-15T07:00:00	9933	9995	9923	9989	9930	9993	9920	9984	
2012-12-08T07:00:00	9988	10001	9925	9933	9983	9998	9922	9930	
2012-12-01T07:00:00	9985	10015	9920	9988	9983	10013	9917	9983	
2012-11-24T07:00:00	9984	10011	9958	9985	9977	10009	9955	9983	
2012-11-17T07:00:00	10046	10061	9973	9984	10044	10059	9970	9977	
2012-11-10T07:00:00	9982	10073	9964	10046	9978	10071	9961	10044	
2012-11-03T06:00:00	9981	9993	9926	9982	9977	9991	9923	9978	
2012-10-27T06:00:00	9914	9984	9894	9981	9911	9982	9891	9977	
2012-10-20T06:00:00	9916	9979	9901	9914	9911	9977	9899	9911	
2012-10-13T06:00:00	9911	9936	9834	9916	9908	9934	9832	9911	
2012-10-06T06:00:00	9907	9951	9891	9911	9904	9949	9889	9908	
2012-09-29T06:00:00	9863	9933	9846	9907	9857	9931	9843	9904	
2012-09-22T06:00:00	9819	9878	9794	9863	9814	9875	9792	9857	
2012-09-15T06:00:00	9777	9858	9767	9819	9772	9855	9764	9814	
2012-09-08T06:00:00	9912	9935	9743	9777	9894	9930	9740	9772	
2012-09-01T06:00:00	9993	10048	9895	9912	9986	10046	9892	9894	
2012-08-25T06:00:00	10007	10038	9968	9993	9993	10036	9965	9986	
2012-08-18T06:00:00	10086	10086	9940	10007	10069	10082	9938	9993	
2012-08-11T06:00:00	10008	10090	9994	10086	10004	10088	9992	10069	
2012-08-04T06:00:00	10007	10054	9983	10008	9999	10052	9980	10004	
2012-07-28T06:00:00	10026	10098	9985	10007	10014	10096	9982	9999	
2012-07-21T06:00:00	10104	10175	10014	10026	10092	10173	10011	10014	
2012-07-14T06:00:00	10153	10169	10039	10104	10144	10167	10036	10092	
2012-07-07T06:00:00	10176	10226	10130	10153	10169	10223	10128	10144	
2012-06-30T06:00:00	10070	10189	10052	10176	10063	10187	10049	10169	
2012-06-23T06:00:00	10168	10195	10051	10070	10165	10193	10048	10063	
2012-06-16T06:00:00	10070	10188	10027	10168	10066	10186	10025	10165	
2012-06-09T06:00:00	10203	10224	10067	10070	10195	10221	10064	10066	
2012-06-02T06:00:00	10242	10277	10146	10203	10240	10274	10143	10195	
2012-05-26T06:00:00	10219	10325	10150	10242	10209	10323	10147	10240	
2012-05-19T06:00:00	10102	10227	10078	10219	10100	10225	10076	10209	
2012-05-12T06:00:00	10019	10155	10019	10102	10016	10153	10016	10100	
2012-05-05T06:00:00	9937	10020	9922	10019	9933	10017	9919	10016	
2012-04-28T06:00:00	9827	9937	9818	9937	9823	9933	9816	9933	
2012-04-21T06:00:00	9925	9959	9825	9827	9906	9957	9823	9823	
2012-04-14T06:00:00	9969	10001	9910	9925	9966	9998	9906	9906	
2012-04-07T06:00:00	9999	10025	9901	9969	9994	10022	9898	9966	
2012-03-31T06:00:00	9957	10049	9896	9999	9954	10047	9893	9994	
2012-03-24T06:00:00	9952	10000	9899	9957	9947	9998	9896	9954	
2012-03-17T06:00:00	9975	10034	9933	9952	9971	10032	9930	9947	
2012-03-10T07:00:00	9986	10099	9964	9975	9983	10097	9961	9971	
2012-03-03T07:00:00	9888	9994	9872	9986	9885	9992	9869	9983	
2012-02-25T07:00:00	9826	9890	9741	9888	9821	9888	9738	9885	
2012-02-18T07:00:00	9835	9898	9782	9826	9832	9896	9779	9821	
2012-02-11T07:00:00	9780	9880	9730	9835	9777	9878	9728	9832	
2012-02-04T07:00:00	9718	9798	9675	9780	9715	9796	9672	9777	
2012-01-28T07:00:00	9755	9819	9690	9718	9752	9816	9687	9715	
2012-01-21T07:00:00	9885	9932	9750	9755	9882	9930	9747	9752	
2012-01-14T07:00:00	10013	10041	9881	9885	10008	10036	9878	9882	
2012-01-07T07:00:00	10011	10059	9947	10013	10008	10054	9942	10008	
2011-12-31T07:00:00	9953	10032	9858	10011	9949	10030	9856	10008	
2011-12-24T07:00:00	9990	10065	9925	9953	9967	10062	9922	9949	
2011-12-17T07:00:00	10020	10071	9895	9990	10017	10069	9892	9967	
2011-12-10T07:00:00	9871	10091	9871	10020	9868	10089	9868	10017	
2011-12-03T07:00:00	9892	9947	9789	9871	9889	9945	9786	9868	
2011-11-26T07:00:00	10067	10067	9802	9892	10062	10062	9799	9889	
2011-11-19T07:00:00	9853	10076	9850	10067	9850	10074	9846	10062	
2011-11-12T07:00:00	9706	9889	9683	9853	9702	9886	9675	9850	
2011-11-05T06:00:00	9721	9858	9668	9706	9717	9856	9665	9702	
2011-10-29T06:00:00	9468	9805	9464	9721	9465	9803	9458	9717	
2011-10-22T06:00:00	9648	9677	9446	9468	9645	9675	9443	9465	
2011-10-15T06:00:00	9713	9815	9645	9648	9709	9812	9642	9645	
2011-10-08T06:00:00	9974	9981	9701	9713	9965	9977	9697	9709	
2011-10-01T06:00:00	9996	10137	9901	9974	9994	10134	9898	9965	
2011-09-24T06:00:00	9954	10013	9836	9996	9951	10011	9833	9994	
2011-09-17T06:00:00	9715	9996	9715	9954	9712	9993	9712	9951	
2011-09-10T06:00:00	9725	9808	9679	9715	9722	9806	9676	9712	
2011-09-03T06:00:00	9497	9739	9497	9725	9494	9737	9494	9722	
2011-08-27T06:00:00	9435	9507	9398	9497	9432	9505	9395	9494	
2011-08-20T06:00:00	9471	9539	9411	9435	9468	9536	9408	9432	
2011-08-13T06:00:00	9552	9552	9382	9471	9549	9549	9380	9468	
2011-08-06T06:00:00	9557	9684	9509	9552	9554	9681	9502	9549	
2011-07-30T06:00:00	9355	9660	9325	9557	9351	9657	9322	9554	
2011-07-23T06:00:00	9459	9477	9334	9355	9456	9475	9331	9351	
2011-07-16T06:00:00	9600	9663	9438	9459	9597	9661	9434	9456	
2011-07-09T06:00:00	9618	9759	9524	9600	9615	9757	9521	9597	
2011-07-02T06:00:00	9559	9670	9551	9618	9556	9668	9548	9615	
2011-06-25T06:00:00	9702	9753	9549	9559	9699	9750	9546	9556	
2011-06-18T06:00:00	9601	9729	9571	9702	9597	9727	9568	9699	
2011-06-11T06:00:00	9613	9717	9519	9601	9610	9714	9516	9597	
2011-06-04T06:00:00	9478	9618	9454	9613	9472	9616	9452	9610	
2011-05-28T06:00:00	9563	9610	9466	9478	9561	9608	9463	9472	
2011-05-21T06:00:00	9658	9766	9546	9563	9651	9764	9543	9561	
2011-05-14T06:00:00	9674	9700	9606	9658	9672	9698	9604	9651	
2011-05-07T06:00:00	9554	9692	9487	9674	9552	9690	9485	9672	
2011-04-30T06:00:00	9371	9572	9338	9554	9369	9570	9336	9552	
2011-04-23T06:00:00	9526	9558	9355	9371	9524	9556	9353	9369	
2011-04-16T06:00:00	9665	9739	9494	9526	9663	9737	9492	9524	
2011-04-09T06:00:00	9713	9735	9651	9665	9711	9733	9649	9663	
2011-04-02T06:00:00	9805	9838	9704	9713	9803	9836	9702	9711	
2011-03-26T06:00:00	9802	9889	9768	9805	9800	9887	9766	9803	
2011-03-19T06:00:00	9799	9813	9726	9802	9797	9811	9724	9800	
2011-03-12T07:00:00	9862	9944	9777	9799	9860	9942	9775	9797	
2011-03-05T07:00:00	9837	9974	9790	9862	9835	9972	9788	9860	
2011-02-26T07:00:00	9872	9899	9809	9837	9870	9897	9807	9835	
2011-02-19T07:00:00	9916	10004	9865	9872	9914	10002	9863	9870	
2011-02-12T07:00:00	10020	10065	9901	9916	10018	10063	9899	9914	
2011-02-05T07:00:00	9935	10050	9890	10020	9933	10048	9888	10018	
2011-01-29T07:00:00	10014	10043	9842	9935	10012	10041	9840	9933	
2011-01-22T07:00:00	10010	10056	9958	10014	10008	10054	9956	10012	
2011-01-15T07:00:00	10090	10102	9962	10010	10088	10100	9960	10008	
2011-01-08T07:00:00	10213	10255	10045	10090	10211	10253	10043	10088	
2011-01-01T07:00:00	10005	10253	10003	10213	10003	10251	10001	10211	
