日時	USOil(始値, 買い)	USOil(高値, 買い)	USOil(安値, 買い)	USOil(終値, 買い)	USOil(始値, 売り)	USOil(高値, 売り)	USOil(安値, 売り)	USOil(終値, 売り)	
2014-02-01T07:00:00	97.51	98.28	96.29	97.55	97.46	98.23	96.24	97.50	
2014-01-25T07:00:00	96.89	98.61	95.24	97.51	96.84	98.56	95.19	97.46	
2014-01-18T07:00:00	94.38	97.86	93.69	96.89	94.30	97.81	93.64	96.84	
2014-01-11T07:00:00	92.78	95.13	91.46	94.38	92.73	95.04	91.41	94.30	
2014-01-04T07:00:00	94.20	94.61	91.26	92.78	94.15	94.56	91.21	92.73	
2013-12-28T07:00:00	100.24	100.46	93.89	94.20	100.19	100.41	93.84	94.15	
2013-12-21T07:00:00	99.23	100.78	98.55	100.24	99.18	100.73	98.50	100.19	
2013-12-14T07:00:00	96.46	99.51	96.24	99.23	96.41	99.46	96.19	99.18	
2013-12-07T07:00:00	97.69	98.78	96.29	96.46	97.64	98.73	96.24	96.41	
2013-11-30T07:00:00	93.30	98.09	92.59	97.69	93.25	98.04	92.54	97.64	
2013-11-23T07:00:00	94.88	94.71	91.79	93.30	94.83	94.66	91.74	93.25	
2013-11-16T07:00:00	93.68	95.64	92.76	94.88	93.63	95.59	92.71	94.83	
2013-11-09T07:00:00	94.34	95.39	92.54	93.68	94.29	95.34	92.49	93.63	
2013-11-02T06:00:00	94.68	95.41	93.10	94.34	94.63	95.36	93.05	94.29	
2013-10-26T06:00:00	97.93	98.79	94.39	94.68	97.85	98.74	94.34	94.63	
2013-10-19T06:00:00	100.85	101.24	95.98	97.93	100.80	101.19	95.93	97.85	
2013-10-12T06:00:00	101.85	102.99	100.06	100.85	101.78	102.94	100.01	100.80	
2013-10-05T06:00:00	103.66	104.09	100.69	101.85	103.61	104.04	100.64	101.78	
2013-09-28T06:00:00	102.85	104.40	101.09	103.66	102.78	104.35	101.04	103.61	
2013-09-21T06:00:00	104.88	105.13	102.23	102.85	104.83	105.08	102.18	102.78	
2013-09-14T06:00:00	108.58	108.51	104.51	104.88	108.50	108.46	104.46	104.83	
2013-09-07T06:00:00	110.30	110.49	106.43	108.58	110.23	110.44	106.38	108.50	
2013-08-31T06:00:00	107.65	110.71	105.56	110.30	107.58	110.66	105.51	110.23	
2013-08-24T06:00:00	106.41	112.26	105.58	107.65	106.36	112.21	105.53	107.58	
2013-08-17T06:00:00	107.83	107.60	103.54	106.41	107.78	107.51	103.49	106.36	
2013-08-10T06:00:00	106.16	108.19	105.06	107.83	106.11	108.14	105.01	107.78	
2013-08-03T06:00:00	106.86	107.70	102.26	106.16	106.81	107.65	102.21	106.11	
2013-07-27T06:00:00	104.68	108.79	102.71	106.86	104.63	108.74	102.66	106.81	
2013-07-20T06:00:00	108.25	108.61	103.93	104.68	108.20	108.56	103.88	104.63	
2013-07-13T06:00:00	106.05	108.94	104.69	108.25	106.00	108.89	104.63	108.20	
2013-07-06T06:00:00	103.49	107.48	102.16	106.05	103.44	107.43	102.11	106.00	
2013-06-29T06:00:00	96.50	103.49	96.10	103.49	96.40	103.44	96.05	103.44	
2013-06-22T06:00:00	93.91	97.84	92.74	96.50	93.86	97.79	92.68	96.40	
2013-06-15T06:00:00	97.89	99.24	93.14	93.91	97.84	99.19	93.09	93.86	
2013-06-08T06:00:00	96.19	98.28	94.09	97.89	96.14	98.23	94.04	97.84	
2013-06-01T06:00:00	91.68	96.40	91.30	96.23	91.63	96.35	91.23	96.18	
2013-05-25T06:00:00	93.89	95.94	91.59	91.68	93.84	95.89	91.53	91.63	
2013-05-18T06:00:00	95.94	97.38	92.24	93.89	95.89	97.33	92.19	93.84	
2013-05-11T06:00:00	95.94	96.46	92.16	95.94	95.89	96.41	92.11	95.89	
2013-05-04T06:00:00	95.49	97.18	93.39	95.94	95.44	97.10	93.34	95.89	
2013-04-27T06:00:00	92.78	96.06	90.14	95.49	92.73	96.01	90.09	95.44	
2013-04-20T06:00:00	88.26	93.89	87.71	92.78	88.21	93.84	87.66	92.73	
2013-04-13T06:00:00	91.00	91.00	85.66	88.26	90.95	90.95	85.61	88.21	
2013-04-06T06:00:00	93.03	94.84	90.30	91.00	92.98	94.79	90.25	90.95	
2013-03-30T06:00:00	97.23	97.80	92.04	93.03	97.18	97.65	91.95	92.98	
2013-03-23T06:00:00	93.90	97.36	93.70	97.23	93.85	97.31	93.63	97.18	
2013-03-16T06:00:00	93.59	94.12	91.79	93.90	93.54	94.07	91.74	93.85	
2013-03-09T07:00:00	91.90	93.86	90.91	93.59	91.85	93.81	90.86	93.54	
2013-03-02T07:00:00	90.96	92.04	89.38	91.90	90.91	91.99	89.33	91.85	
2013-02-23T07:00:00	93.40	94.48	90.06	90.96	93.35	94.43	90.01	90.91	
2013-02-16T07:00:00	96.00	97.51	92.49	93.40	95.95	97.46	92.44	93.35	
2013-02-09T07:00:00	95.80	98.11	94.99	96.00	95.75	98.06	94.94	95.95	
2013-02-02T07:00:00	97.66	97.75	95.06	95.80	97.61	97.65	95.01	95.75	
2013-01-26T07:00:00	96.05	98.26	95.54	97.66	96.00	98.21	95.49	97.61	
2013-01-19T07:00:00	95.83	96.94	94.99	96.05	95.78	96.89	94.94	96.00	
2013-01-12T07:00:00	93.75	96.15	92.96	95.83	93.70	96.10	92.91	95.78	
2013-01-05T07:00:00	93.13	94.73	92.46	93.75	93.08	94.68	92.41	93.70	
2012-12-29T07:00:00	90.73	93.84	90.01	93.13	90.68	93.79	89.96	93.08	
2012-12-22T07:00:00	88.98	91.51	88.21	90.73	88.93	91.46	88.16	90.68	
2012-12-15T07:00:00	86.78	90.56	86.51	88.98	86.73	90.51	86.46	88.93	
2012-12-08T07:00:00	86.04	87.70	85.24	86.78	85.99	87.65	85.19	86.73	
2012-12-01T07:00:00	88.93	90.36	85.71	86.04	88.88	90.31	85.66	85.99	
2012-11-24T07:00:00	88.23	89.01	85.39	88.93	88.18	88.96	85.34	88.88	
2012-11-17T07:00:00	87.21	89.81	86.21	88.23	87.16	89.76	86.16	88.18	
2012-11-10T07:00:00	86.15	87.40	84.60	87.21	86.08	87.35	84.55	87.16	
2012-11-03T06:00:00	84.86	89.24	84.09	86.15	84.81	89.19	84.04	86.08	
2012-10-27T06:00:00	86.15	87.43	84.69	84.86	86.10	87.38	84.64	84.81	
2012-10-20T06:00:00	90.49	91.30	84.99	86.15	90.44	91.25	84.94	86.10	
2012-10-13T06:00:00	91.68	93.51	89.81	90.49	91.63	93.46	89.76	90.44	
2012-10-06T06:00:00	89.94	93.68	88.24	91.68	89.89	93.63	88.19	91.63	
2012-09-29T06:00:00	92.06	93.35	87.71	89.94	92.01	93.30	87.66	89.89	
2012-09-22T06:00:00	93.15	93.25	88.99	92.06	93.10	93.20	88.94	92.01	
2012-09-15T06:00:00	99.04	99.54	90.99	93.15	98.99	99.49	90.94	93.10	
2012-09-08T06:00:00	96.35	100.45	95.39	99.04	96.30	100.40	95.34	98.99	
2012-09-01T06:00:00	96.64	97.70	94.13	96.35	96.59	97.60	94.08	96.30	
2012-08-25T06:00:00	96.05	97.75	93.99	96.64	96.00	97.70	93.93	96.59	
2012-08-18T06:00:00	96.23	98.31	95.34	96.05	96.18	98.26	95.29	96.00	
2012-08-11T06:00:00	93.35	96.31	92.09	96.23	93.28	96.26	92.04	96.18	
2012-08-04T06:00:00	91.39	94.83	90.66	93.35	91.34	94.73	90.61	93.28	
2012-07-28T06:00:00	90.14	91.75	86.95	91.39	90.09	91.70	86.90	91.34	
2012-07-21T06:00:00	91.53	91.58	86.89	90.14	91.48	91.53	86.84	90.09	
2012-07-14T06:00:00	87.08	93.26	86.50	91.53	87.03	93.21	86.45	91.48	
2012-07-07T06:00:00	84.16	87.64	83.68	87.08	84.11	87.59	83.63	87.03	
2012-06-30T06:00:00	84.80	89.01	82.14	84.16	84.75	88.96	82.09	84.11	
2012-06-23T06:00:00	80.15	85.36	77.31	84.80	80.10	85.31	77.26	84.75	
2012-06-16T06:00:00	84.15	85.60	77.58	80.15	84.10	85.50	77.53	80.10	
2012-06-09T06:00:00	84.43	86.68	81.14	84.15	84.38	86.60	81.05	84.10	
2012-06-02T06:00:00	83.98	87.05	81.24	84.43	83.93	87.00	81.19	84.38	
2012-05-26T06:00:00	90.74	92.21	82.59	83.98	90.69	92.16	82.54	83.93	
2012-05-19T06:00:00	91.13	93.36	89.31	90.74	91.08	93.31	89.26	90.69	
2012-05-12T06:00:00	95.64	95.83	90.98	91.13	95.59	95.76	90.90	91.08	
2012-05-05T06:00:00	98.54	98.54	95.26	95.64	98.49	98.49	95.21	95.59	
2012-04-28T06:00:00	104.79	106.48	97.54	98.54	104.74	106.43	97.49	98.49	
2012-04-21T06:00:00	104.08	105.01	101.86	104.79	104.03	104.96	101.81	104.74	
2012-04-14T06:00:00	102.88	105.10	101.84	104.08	102.83	105.05	101.79	104.03	
2012-04-07T06:00:00	103.28	104.26	100.70	102.88	103.23	104.21	100.65	102.83	
2012-03-31T06:00:00	103.04	105.51	101.11	103.28	102.99	105.46	101.06	103.23	
2012-03-24T06:00:00	106.78	107.74	102.16	103.04	106.73	107.69	102.11	102.99	
2012-03-17T06:00:00	107.23	108.71	104.54	106.78	107.18	108.66	104.49	106.73	
2012-03-10T07:00:00	107.45	107.70	103.83	107.23	107.40	107.40	103.78	107.18	
2012-03-03T07:00:00	106.63	108.21	104.39	107.45	106.58	108.16	104.34	107.40	
2012-02-25T07:00:00	109.71	110.58	104.89	106.63	109.66	110.53	104.84	106.58	
2012-02-18T07:00:00	104.20	109.98	104.20	109.71	104.15	109.93	104.15	109.66	
2012-02-11T07:00:00	99.05	104.20	99.05	104.20	98.98	104.15	98.98	104.15	
2012-02-04T07:00:00	97.79	100.20	95.86	99.05	97.74	100.15	95.80	98.98	
2012-01-28T07:00:00	99.75	101.30	95.46	97.79	99.70	101.25	95.41	97.74	
2012-01-21T07:00:00	98.51	101.41	97.45	99.75	98.46	101.36	97.38	99.70	
2012-01-14T07:00:00	99.19	102.28	98.04	98.51	99.14	102.23	97.99	98.46	
2012-01-07T07:00:00	101.84	103.44	97.74	99.19	101.79	103.39	97.69	99.14	
2011-12-31T07:00:00	99.00	103.76	99.00	101.84	98.95	103.71	98.95	101.79	
2011-12-24T07:00:00	99.88	101.79	98.34	99.00	99.83	101.74	98.29	98.95	
2011-12-17T07:00:00	94.00	100.25	92.80	99.88	93.95	100.20	92.75	99.83	
2011-12-10T07:00:00	99.69	101.26	92.56	94.00	99.64	101.21	92.51	93.95	
2011-12-03T07:00:00	101.06	102.46	97.41	99.69	101.01	102.41	97.35	99.64	
2011-11-26T07:00:00	96.51	101.75	96.51	101.06	96.46	101.70	96.46	101.01	
2011-11-19T07:00:00	97.96	98.70	95.03	96.51	97.91	98.65	94.98	96.46	
2011-11-12T07:00:00	99.01	103.40	96.74	97.96	98.96	103.35	96.69	97.91	
2011-11-05T06:00:00	94.41	99.21	93.26	99.01	94.36	99.16	93.21	98.96	
2011-10-29T06:00:00	93.51	94.98	89.23	94.41	93.46	94.90	89.15	94.36	
2011-10-22T06:00:00	87.70	94.65	87.08	93.51	87.65	94.58	87.00	93.46	
2011-10-15T06:00:00	87.38	89.71	84.26	87.70	87.33	89.66	84.21	87.65	
2011-10-08T06:00:00	82.89	87.40	82.89	87.38	82.84	87.35	82.78	87.33	
2011-10-01T06:00:00	78.83	84.01	74.99	82.89	78.78	83.96	74.94	82.84	
2011-09-24T06:00:00	80.29	84.79	77.20	78.83	80.24	84.74	77.13	78.78	
2011-09-17T06:00:00	87.95	88.00	77.59	80.29	87.90	87.95	77.53	80.24	
2011-09-10T06:00:00	87.24	90.54	85.03	87.95	87.19	90.49	84.98	87.90	
2011-09-03T06:00:00	86.70	90.38	83.25	87.24	86.65	90.20	83.20	87.19	
2011-08-27T06:00:00	85.43	89.93	85.16	86.70	85.38	89.88	85.10	86.65	
2011-08-20T06:00:00	82.69	86.59	81.23	85.43	82.64	86.54	81.15	85.38	
2011-08-13T06:00:00	85.26	89.01	79.41	82.69	85.21	88.96	79.35	82.64	
2011-08-06T06:00:00	87.08	87.39	75.78	85.26	87.03	87.34	75.68	85.21	
2011-07-30T06:00:00	95.95	98.60	82.98	87.08	95.90	98.55	82.73	87.03	
2011-07-23T06:00:00	99.84	100.64	94.99	95.95	99.79	100.59	94.94	95.90	
2011-07-16T06:00:00	97.35	100.20	94.73	99.84	97.30	100.15	94.65	99.79	
2011-07-09T06:00:00	96.36	99.21	93.59	97.35	96.31	99.16	93.54	97.30	
2011-07-02T06:00:00	94.78	99.45	94.38	96.36	94.73	99.40	94.33	96.31	
2011-06-25T06:00:00	91.28	95.86	89.64	94.78	91.23	95.81	89.59	94.73	
2011-06-18T06:00:00	92.98	95.71	89.74	91.28	92.93	95.66	89.69	91.23	
2011-06-11T06:00:00	98.98	99.98	91.88	92.98	98.93	99.93	91.83	92.93	
2011-06-04T06:00:00	100.49	102.45	97.76	98.98	100.44	102.40	97.71	98.93	
2011-05-28T06:00:00	100.89	103.40	98.16	100.49	100.84	103.35	98.11	100.44	
2011-05-21T06:00:00	100.03	102.36	96.40	100.95	99.95	101.86	96.35	100.45	
2011-05-14T06:00:00	99.40	101.28	95.04	100.03	99.35	101.23	94.99	99.95	
2011-05-07T06:00:00	97.85	104.61	95.28	99.40	97.80	104.56	95.20	99.35	
2011-04-30T06:00:00	113.70	114.85	94.78	97.85	113.65	114.80	94.65	97.80	
2011-04-23T06:00:00	112.26	114.20	110.74	113.70	112.21	114.15	110.55	113.65	
2011-04-16T06:00:00	109.44	112.51	106.04	112.26	109.39	112.46	105.99	112.21	
2011-04-09T06:00:00	113.19	113.49	105.34	109.44	113.14	113.44	105.29	109.39	
2011-04-02T06:00:00	108.09	113.20	107.53	113.19	108.04	113.15	107.45	113.14	
2011-03-26T06:00:00	105.58	108.19	102.75	108.09	105.53	108.14	102.70	108.04	
2011-03-19T06:00:00	101.59	106.70	101.59	105.58	101.54	106.65	101.54	105.53	
2011-03-12T07:00:00	100.69	103.66	96.25	101.59	100.64	103.61	96.20	101.54	
2011-03-05T07:00:00	104.76	106.98	99.26	100.69	104.71	106.93	99.21	100.64	
2011-02-26T07:00:00	98.21	104.96	96.35	104.76	98.16	104.91	96.25	104.71	
2011-02-19T07:00:00	89.90	103.65	89.90	98.21	89.85	103.48	89.85	98.16	
2011-02-12T07:00:00	85.49	90.99	83.89	89.90	85.44	90.94	83.84	89.85	
2011-02-05T07:00:00	88.89	89.56	85.08	85.49	88.84	89.51	85.00	85.44	
2011-01-29T07:00:00	89.43	92.86	88.44	88.89	89.38	92.81	88.39	88.84	
2011-01-22T07:00:00	89.26	89.75	85.14	89.43	89.21	89.70	85.08	89.38	
2011-01-15T07:00:00	91.71	93.03	88.85	89.26	91.66	92.98	88.73	89.21	
2011-01-08T07:00:00	88.49	92.41	88.16	91.71	88.44	92.36	88.11	91.66	
2011-01-01T07:00:00	90.86	92.59	87.28	88.49	90.81	92.54	87.23	88.44	
2010-12-25T07:00:00	91.53	91.90	89.04	90.86	91.48	91.85	88.98	90.81	
2010-12-18T07:00:00	88.63	91.64	87.76	91.53	88.58	91.59	87.71	91.48	
2010-12-11T07:00:00	87.84	89.50	86.86	88.63	87.79	89.45	86.81	88.58	
2010-12-04T07:00:00	89.38	90.78	87.14	87.84	89.33	90.73	87.09	87.79	
2010-11-27T07:00:00	83.75	89.51	83.59	89.38	83.70	89.46	83.53	89.33	
2010-11-20T07:00:00	82.11	84.56	80.31	83.75	82.06	84.51	80.26	83.70	
2010-11-13T07:00:00	84.64	85.79	80.09	82.11	84.59	85.74	80.04	82.06	
2010-11-06T06:00:00	87.13	88.65	84.56	84.64	87.08	88.60	84.51	84.59	
2010-10-30T06:00:00	81.41	87.26	81.38	87.13	81.36	87.21	81.30	87.08	
2010-10-23T06:00:00	82.06	83.29	80.55	81.41	82.01	83.24	80.50	81.36	
2010-10-16T06:00:00	81.48	83.90	79.90	82.06	81.43	83.85	79.80	82.01	
2010-10-09T06:00:00	82.91	84.15	80.79	81.48	82.86	84.08	80.74	81.43	
